id,ticker,strategy,universe,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,status,created_at,exit_reason
121,D,mean_reversion,sp500,2026-03-24,2026-03-25,59.38,62.54,13,41.08,5.32,closed,2026-04-14 06:36:27,stop_loss
122,ECL,connors_rsi2,sp500,2026-03-24,2026-03-25,257.03,261.82,4,19.16,1.86,closed,2026-04-14 06:36:27,stop_loss
123,NOC,connors_rsi2,sp500,2026-03-24,2026-03-25,670.0,677.75,1,7.75,1.16,closed,2026-04-14 06:36:27,stop_loss
125,CVX,momentum_breakout,sp500,2026-03-27,2026-03-28,205.32,206.65,3,3.99,0.65,closed,2026-04-14 06:36:27,stop_loss
154,UNG,connors_rsi2,commodity_etfs,2026-04-21T16:00:14.009742,2026-04-22T08:00:29.065184,10.68,10.68,54,0.0,0.0,closed,2026-04-21 06:00:14,reconcile_phantom
179,SLV,connors_rsi2,commodity_etfs,2026-04-22T23:00:07.655422,2026-04-22T23:00:07.954052,71.92,70.9867,6,-5.599800000000016,-1.2976918798665222,closed,2026-04-22 13:00:07,trailing_stop_fill
